Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4290,79.43,0.4661,78.34,0.9022
2,0.6661,63.02,0.9240,60.83,0.8929
3,0.6205,63.44,0.4528,79.89,0.9070
4,0.4689,78.67,0.5729,77.08,0.9117
5,0.6667,64.29,0.6377,66.27,0.6968
6,0.3305,86.29,0.3266,86.07,0.9082
7,0.5614,68.10,0.3597,86.78,0.9204
8,0.2713,90.83,0.3036,88.47,0.9332
9,0.1738,94.20,0.3604,85.91,0.9110
10,0.1259,95.76,0.4891,85.51,0.9146
11,0.0909,97.26,0.5426,85.25,0.9259
12,0.0716,97.95,0.4653,87.91,0.9279
13,0.0589,98.47,0.4705,86.33,0.9204
