Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.6050,65.06,0.6338,65.26,0.6321
2,0.3548,83.99,0.5741,76.37,0.7676
3,0.2140,91.66,0.5992,80.78,0.8123
4,0.1524,94.20,0.5918,79.06,0.8097
5,0.1194,95.58,0.6079,81.24,0.8411
6,0.0986,96.35,0.6596,79.39,0.8262
7,0.0844,96.79,0.7201,81.69,0.8348
8,0.0690,97.46,0.8013,81.45,0.8274
9,0.0603,97.80,0.7764,79.73,0.8352
10,0.0532,98.05,0.9177,81.67,0.8108
11,0.0422,98.50,0.9347,80.13,0.8101
12,0.0343,98.83,1.0598,82.36,0.7965
13,0.0308,98.91,1.0237,82.04,0.8047
14,0.0256,99.06,1.0742,81.25,0.7918
15,0.0199,99.29,1.2119,82.23,0.7872
16,0.0179,99.37,1.1657,81.21,0.7889
17,0.0142,99.52,1.2095,82.88,0.7912
18,0.0119,99.59,1.2782,83.00,0.7705
19,0.0089,99.69,1.4209,83.48,0.7568
20,0.0061,99.82,1.5086,83.27,0.7574
21,0.0059,99.83,1.4803,82.49,0.7701
22,0.0045,99.84,1.5902,82.90,0.7537
23,0.0038,99.88,1.6272,83.05,0.7550
24,0.0026,99.93,1.6310,82.86,0.7588
25,0.0026,99.92,1.7193,82.93,0.7478
